dogName, count
BELLA,115
LUCY,80
SADIE,78
MAX,76
BUDDY,74
BAILEY,64
CHARLIE,63
DAISY,61
JACK,59
GINGER,58
MOLLY,58
LILY,56
BEAR,51
ROXY,50
LUNA,49
ABBY,48
COOPER,47
MAGGIE,47
ROCKY,46
DUKE,43
KENAI,42
RILEY,42
WILLOW,42
KODA,38
SHADOW,38
JAKE,37
RUBY,37
DENALI,36
LADY,36
LUCKY,36
SOPHIE,36
TOBY,36
HARLEY,35
LOKI,33
SAM,32
CHLOE,31
COCO,31
ROSIE,31
DIESEL,30
BANDIT,28
GRACIE,28
PENNY,28
PIPER,28
CODY,27
LOLA,27
PEPPER,27
RUGER,27
TUCKER,27
BENTLEY,26
GUS,26
BLUE,25
LILLY,25
SCOUT,25
ZOE,25
KODIAK,24
YUKON,24
BUSTER,23
JASPER,23
STELLA,23
ZOEY,23
DAKOTA,22
KISKA,22
MILO,22
MISSY,22
MURPHY,22
ANNIE,21
BELLE,21
EMMA,21
KONA,21
OSCAR,21
RAVEN,21
SASHA,21
ZEUS,21
MARLEY,20
TITAN,20
ATHENA,19
ELLIE,19
FINN,19
FRANKIE,19
NALA,19
OLIVER,19
RANGER,19
GEORGE,18
MOCHA,18
ANGEL,17
BAXTER,17
CHANCE,17
DOZER,17
JACKSON,17
JAX,17
KATIE,17
MINNIE,17
MOOSE,17
OTIS,17
SAMMY,17
WINSTON,17
AURORA,16
COPPER,16
DEXTER,16
LEXI,16
LULU,16
MIA,16
SPARKY,16
SUGAR,16
THOR,16
HUNTER,15
JASMINE,15
LEO,15
LOUIE,15
MADDIE,15
PEANUT,15
GIZMO,14
GUNNER,14
HENRY,14
HOLLY,14
KING,14
KOBUK,14
MISTY,14
ODIN,14
POPPY,14
PRINCESS,14
ROSCOE,14
SPIKE,14
TAZ,14
TEDDY,14
APOLLO,13
BO,13
COCOA,13
HONEY,13
IZZY,13
MCKINLEY,13
MICKEY,13
MILLIE,13
OLIVE,13
OREO,13
SAMPSON,13
BOO,12
BRODY,12
DALLAS,12
HAZEL,12
RIVER,12
ROXIE,12
SMOKEY,12
BRUTUS,11
CALLIE,11
CASH,11
CHENA,11
CHEWY,11
DESHKA,11
JOEY,11
LUKE,11
MOJO,11
OLLIE,11
ONYX,11
PORTER,11
PRINCE,11
RIPLEY,11
SCOOTER,11
SNICKERS,11
SUNNY,11
TRIGGER,11
XENA,11
BENNY,10
CALI,10
CINNAMON,10
COSMO,10
DIAMOND,10
DUSTY,10
HANK,10
JUNO,10
KAI,10
LAYLA,10
MAXIMUS,10
MAYA,10
NELLIE,10
OAKLEY,10
ROMEO,10
RUDY,10
RUSTY,10
RYDER,10
SALLY,10
SAMSON,10
SANDY,10
SITKA,10
SNOOPY,10
STAR,10
SYDNEY,10
TANK,10
TYSON,10
ZEKE,10
ZIGGY,10
ACE,9
ALLIE,9
BABY,9
BOOMER,9
BUBBA,9
CHASE,9
CHICO,9
DIXIE,9
HOMER,9
HOPE,9
KOA,9
MIDNIGHT,9
REMY,9
REX,9
RIO,9
RUFUS,9
SAMANTHA,9
SARGE,9
SASSY,9
SIERRA,9
STORMY,9
WRIGLEY,9
ASPEN,8
BONNIE,8
CASEY,8
CASSIE,8
CHICA,8
CLEO,8
COOKIE,8
DELILAH,8
DOC,8
DOLLY,8
FRITZ,8
HEIDI,8
HERCULES,8
ISIS,8
JADE,8
JOY,8
MADDY,8
MATTIE,8
NINA,8
NOVA,8
NUGGET,8
ODIE,8
PHOEBE,8
ROCCO,8
STANLEY,8
TILLY,8
TIMBER,8
TROOPER,8
ABBEY,7
AMBER,7
ANGUS,7
ATLAS,7
AUTUMN,7
BEAU,7
BERNIE,7
BRISTOL,7
BRUCE,7
BRUNO,7
CAPTAIN,7
COMET,7
CRICKET,7
EDDIE,7
ELLA,7
ELSA,7
FOXY,7
GIGI,7
GRIZZLY,7
HANNAH,7
JAZZ,7
JESSIE,7
JOSIE,7
KAISER,7
KALI,7
KARMA,7
KAYA,7
KINLEY,7
KOBE,7
LOGAN,7
MACY,7
MASON,7
MISHKA,7
NIKKI,7
OLAF,7
PARKER,7
PATCHES,7
PRECIOUS,7
REMINGTON,7
ROO,7
ROWDY,7
SABLE,7
SARAH,7
SCRAPPY,7
SHEBA,7
SHELBY,7
SIMBA,7
SKIPPY,7
SKYE,7
WILLIE,7
ABIGAIL,6
ALICE,6
ALYESKA,6
ANNA,6
ARCHIE,6
AXEL,6
BARKLEY,6
BETTY,6
BLAZE,6
BOBBY,6
BOLT,6
BOWSER,6
BRODIE,6
BUTTERS,6
CAESAR,6
CASPER,6
CEDAR,6
CHAMP,6
CHEVY,6
CHIEF,6
CHINOOK,6
CLYDE,6
COWBOY,6
DAPHNE,6
DAWSON,6
DAX,6
DEUCE,6
DRAKE,6
DUTCHESS,6
ELVIS,6
FANCY,6
FRECKLES,6
GABBY,6
GRACE,6
GRETA,6
JOE,6
KIMBER,6
KITA,6
LEIA,6
LIBERTY,6
MADISON,6
MERLIN,6
PACO,6
PANDA,6
PEARL,6
PENELOPE,6
PETE,6
PIXIE,6
PONCHO,6
RAIDER,6
RAMBO,6
RASCAL,6
REGGIE,6
REMI,6
ROSE,6
ROSEY,6
SIMON,6
TINKERBELL,6
TINY,6
TRAPPER,6
WATSON,6
WINNIE,6
YUKI,6
ZORRO,6
AJAX,5
ANDY,5
ATTU,5
BABE,5
BANJO,5
BEN,5
BINGO,5
BODHI,5
BORIS,5
BRADY,5
BRANDY,5
BROWNIE,5
BUCK,5
BUZZ,5
CAPONE,5
CHEWIE,5
CHIP,5
COHO,5
CRUISER,5
DAISY MAE,5
DASH,5
ELI,5
ENZO,5
EVA,5
FIONA,5
GIDGET,5
GINNY,5
GOLDIE,5
GYPSY,5
ISABELLA,5
IVY,5
KIERA,5
KIKI,5
KIRA,5
LACEY,5
LENNY,5
LIZZIE,5
MACK,5
MAISY,5
MISTER,5
MYA,5
NANOOK,5
NEMO,5
NYX,5
OLIVIA,5
PAPI,5
PEACHES,5
RADAR,5
REBEL,5
RED,5
RINGO,5
ROGUE,5
ROLO,5
SCOOBY,5
SEAMUS,5
SHERMAN,5
SONNY,5
SOPHIA,5
TASHA,5
TIA,5
TONKA,5
TORI,5
TROY,5
TUNDRA,5
WYATT,5
YODA,5
ZIVA,5
ZUES,5
APRIL,4
ABBIE,4
ADAK,4
ARES,4
ATIGUN,4
AUGGIE,4
AVA,4
AZUL,4
BABY GIRL,4
BENELLI,4
BENJI,4
BROOKS,4
CEASAR,4
CHAI,4
CHILI,4
CINDER,4
CLOVER,4
COLBY,4
COLE,4
DAISEY,4
DIEGO,4
DIGGER,4
DJ,4
DORA,4
DOUGLAS,4
DYLAN,4
EBONY,4
EMMETT,4
EMMY,4
FINLEY,4
FRANK,4
FRANKLIN,4
FRED,4
FREYA,4
FRODO,4
GEMMA,4
GERTIE,4
GOOSE,4
GUCCI,4
HAPPY,4
HARVEY,4
HATCHER,4
HOWIE,4
HUCK,4
IGGY,4
INDY,4
IVAN,4
JAGER,4
JAXON,4
JENNY,4
JESSE,4
JEWELS,4
JUNEAU,4
KAYLEE,4
KEENA,4
KILO,4
KODY,4
LENA,4
LEXIE,4
LIZZY,4
LYLA,4
MAC,4
MACKENZIE,4
MAIZY,4
MANDY,4
MARY,4
MARY JANE,4
MATILDA,4
MCKENZIE,4
MIMI,4
MISHA,4
MISKA,4
MOE,4
MOKI,4
MOLLIE,4
MOXIE,4
NAHLA,4
NIKO,4
NORMAN,4
O'MALLEY,4
OPIE,4
OTTO,4
OZZY,4
PAISLEY,4
PATCH,4
PEBBLES,4
PERCY,4
PETER,4
PETEY,4
PIPPIN,4
PJ,4
POLLY,4
QUEENIE,4
QUINN,4
ROGER,4
ROSCO,4
ROXI,4
RUPERT,4
SAWYER,4
SCARLETT,4
SCRUFFY,4
SCULLY,4
SHILOH,4
SIDNEY,4
SKY,4
SNOWBALL,4
SOLO,4
SPENCER,4
STORM,4
SUKI,4
SUMMIT,4
SUNSHINE,4
SUSIE,4
SWEET PEA,4
TAZLINA,4
TEEKA,4
TESS,4
TESSA,4
THEO,4
TITUS,4
TOK,4
TRIXIE,4
TUFFY,4
TUX,4
TY,4
VIOLET,4
WALLY,4
WILLA,4
WRANGELL,4
ZELDA,4
ZEPHYR,4
JUNE,3
TUESDAY,3
ADDIE,3
AKIRA,3
ALEX,3
ALI,3
ARLO,3
ARROW,3
ASH,3
ATKA,3
AUSTIN,3
AVERY,3
AXLE,3
AYLA,3
BAM BAM,3
BARLEY,3
BARON,3
BATMAN,3
BAUER,3
BAYLEE,3
BEA,3
BEAN,3
BEAUX,3
BEBE,3
BENNIE,3
BERT,3
BETSY,3
BLANCA,3
BLIZZARD,3
BOB,3
BOBO,3
BOGEY,3
BOJANGLES,3
BOONE,3
BOOTS,3
BOSS,3
BOULDER,3
BREE,3
BUCKY,3
BUD,3
BULLET,3
BUTCH,3
CABO,3
CANDY,3
CESAR,3
CHAOS,3
CHARLEY,3
CHARLOTTE,3
CHESTER,3
CHEYENNE,3
CHINO,3
CHUBBS,3
CHULI,3
CINDY,3
COAL,3
COLT,3
CORA,3
DANTE,3
DARBY,3
DINGO,3
DIVA,3
DOBBY,3
DORY,3
DOT,3
DUDE,3
DUNCAN,3
DUTCH,3
EASTON,3
ECHO,3
ESKA,3
EVE,3
FARLEY,3
FELIX,3
FERGUS,3
FIFI,3
FINNEGAN,3
FLYNN,3
FORREST,3
FREDDIE,3
FREEDOM,3
FREYJA,3
GALENA,3
GHOST,3
GLORY,3
GOLIATH,3
GOOFY,3
GRIFFIN,3
HAILEY,3
HARLOW,3
HARRY,3
HERSHEY,3
HOBBS,3
HONEY BEAR,3
HOOPER,3
HOOVER,3
HOSS,3
INDIE,3
INDIGO,3
IRIS,3
JACKIE,3
JAZMINE,3
JAZZY,3
JEDI,3
JETHRO,3
JIMMY,3
JJ,3
JULES,3
JULIE,3
JUNIOR,3
JUPITER,3
KAHN,3
KANE,3
KATE,3
KEENEYE,3
KEIRA,3
